product,price,max  speed km/hr,max distance km,charging time Minutes,battery volt,battery ah
Uboard SUV Off-Roader - Hoverboard - Electric Vehicle,"26,999",15,14,120,36,4.4
Uboard Classic 6.5 - Hoverboard - Electric Vehicle,"32,449",12,12,120,36,2.2
Uboard Eco 6.5 - Hoverboard - Electric Vehicle,"18,999",8,8,90,36,4.4
Uboard Hybrid 08+ - Hoverboard - Electric Vehicle,"26,949",14,14,120,36,4.4
CXM 6.5 - Hoverboard - Electric Vehicle,"15,999",12.25,12,112.5,36,4.4
"sky wings segway hoverboard Self Balancing 6.5"" HoverBoard Scooter  (White)","11,999",12.5,17.5,90,36,4.4
TYGATEC ECO_Bluetooth Music Speaker Hover boarElectric Drifting Board,"14,395",12.25,13,116.25,36,4.4
Uboard ECO Board 6.5 Inch Electric Hoverboard HoverBoard Scooter ,"20,999",10,25.5,120,36,4.4
sky wings platinum self balancing electric scooter hover board ,"19,999",12.5,17.5,120,36,4.4
"CXM Hoverboard Self Balancing Electric Scooter 8.5"" HoverBoard Scooter  (purple sky)","14,354",12,14,112,36,4.4
EMOB Two Wheels Electric Standing Smart Balance Self Balancing Hover board HoverBoard Scooter ,"20,314",12,15,112,36,4
Zroof Hoverboard Self Balancing Electric Scooter HoverBoard Scooter  (Multicolor),"19,646",12,15,111,36,4
Bird Hoverboard Electric Scooter Board,"20,314",10,15,90,36,4.4
TARKAN Self Balancing Electric Scooter HoverBoard Scooter,"15,923",10,15,110.3159615,36,4.4
ABB Self balancing electric scooter HoverBoard Scooter ,14448,12,15,110.3159615,36,4
,,,,,,
,,,,,,
average,"19,586",11.75366667,14.805,110.3159615,36,4.195866667
median,"19,646",12,15,112,36,4
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,, ,,
